"text","post_text","shared_text","time","video_id","likes","comments","shares"
"President Biden announced on Wednesday that the government would secure another 100 million doses of the Johnson & Johnson vaccine and touted a joint production deal between the company and the pharmaceutical giant Merck.","President Biden announced on Wednesday that the government would secure another 100 million doses of the Johnson & Johnson vaccine and touted a joint production deal between the company and the pharmaceutical giant Merck.","","2021-03-10 19:55:00",496001731765721,1021,79,0
"House Democrats prevailed over unified Republican opposition on Wednesday to approve President Biden’s nearly $1.9 trillion stimulus package, clearing the legislation for his signature. https://nyti.ms/3vfTx8a","House Democrats prevailed over unified Republican opposition on Wednesday to approve President Biden’s nearly $1.9 trillion stimulus package, clearing the legislation for his signature. https://nyti.ms/3vfTx8a","","2021-03-10 17:41:24",752571945645826,405,75,0
"A collapse in tourism and employment. A strain on city services. A rise in crime.

New York City has become a canvas upon which nearly every element of the coronavirus pandemic played out. Here's what it looks like. https://nyti.ms/3esbVEA","A collapse in tourism and employment. A strain on city services. A rise in crime.

New York City has become a canvas upon which nearly every element of the coronavirus pandemic played out. Here's what it looks like. https://nyti.ms/3esbVEA","","2021-03-10 17:10:27",352336799335866,84,35,0
"Around 6,000 people gathered to protest against police violence and officers’ coronavirus lockdown tactics in Athens on Tuesday night. Police said 10 officers were wounded and 16 people were arrested. https://nyti.ms/30ul5sf","Around 6,000 people gathered to protest against police violence and officers’ coronavirus lockdown tactics in Athens on Tuesday night. Police said 10 officers were wounded and 16 people were arrested. https://nyti.ms/30ul5sf","","2021-03-10 16:01:04",558397595120658,369,89,0
"For many Black Britons, Prince Harry and Meghan’s television interview with Oprah Winfrey on Sunday reaffirmed their belief that racism played a role in the couple’s decision to leave the country. https://nyti.ms/3l2iGhP","For many Black Britons, Prince Harry and Meghan’s television interview with Oprah Winfrey on Sunday reaffirmed their belief that racism played a role in the couple’s decision to leave the country. https://nyti.ms/3l2iGhP","","2021-03-10 15:20:54",281058480093561,1166,292,0
"A demonstration in Mexico City turned violent, with at least 81 injured, as hundreds of women marched and pulled down parts of a barricade outside the residence of President Andrés Manuel López Obrador, who has supported a politician accused of rape. https://nyti.ms/3emTWzC","A demonstration in Mexico City turned violent, with at least 81 injured, as hundreds of women marched and pulled down parts of a barricade outside the residence of President Andrés Manuel López Obrador, who has supported a politician accused of rape. https://nyti.ms/3emTWzC","","2021-03-09 01:25:45",1885089921640658,494,117,0
"On Monday, Prime Minister Boris Johnson of Britain was questioned about the recent claims made by Queen Elizabeth’s grandson Prince Harry and his wife, Meghan.","On Monday, Prime Minister Boris Johnson of Britain was questioned about the recent claims made by Queen Elizabeth’s grandson Prince Harry and his wife, Meghan.","","2021-03-08 21:40:00",829986837556171,343,138,0
"This sea slug just ripped off its own head. https://nyti.ms/3eji8mn","This sea slug just ripped off its own head. https://nyti.ms/3eji8mn","","2021-03-08 16:30:26",1139320909916638,51,15,0
"In The New York Times Opinion Section

Have you ever sat shivering on the edge of the bathtub waiting for the boiling hot water to cool down so you can get in? That’s what we’re doing on a national level right now, says Tala Schlossberg. https://nyti.ms/3ewd5zd","In The New York Times Opinion Section

Have you ever sat shivering on the edge of the bathtub waiting for the boiling hot water to cool down so you can get in? That’s what we’re doing on a national level right now, says Tala Schlossberg. https://nyti.ms/3ewd5zd","","2021-03-08 11:15:43",923579171725052,161,16,0
"Watch: On his last full day in Iraq, Pope Francis visited the once-vibrant city of Mosul to pray for victims of all faiths who had endured war and armed conflict. https://nyti.ms/3rCPIHX","Watch: On his last full day in Iraq, Pope Francis visited the once-vibrant city of Mosul to pray for victims of all faiths who had endured war and armed conflict. https://nyti.ms/3rCPIHX","","2021-03-07 13:41:24",484000979399880,618,73,0
